Stop;Longitude;Latitude;Ort
1;9,52608;48,715901;Ebersbach an der Fils
2;8,659179;49,874278;IGD Darmstadt
3;7,167132;49,464668;Sankt Wendel
4;8,963435;51,026003;Haina (Kloster)
5;7,281636;50,833513;Lohmar
6;8,756256;51,722838;Paderborn
7;7,895155;51,75543;Ahlen
8;9,409627;53,168678;Westerholz (Scheeßel)
9;11,64156;52,167443;Magdeburg
10;10,317662;51,909864;Wolfshagen im Harz
11;12,34823;51,345806;Leipzig
12;10,115084;51,124792;Weißenborn
13;13,192597;50,719349;Lengefeld
14;10,50579;50,036657;Haßfurt
15;10,963835;49,136302;Allmannsdorf
16;9,52608;48,715901;Ebersbach an der Fils
